noDataCast,femaleCast,maleCast,noDataCrew,femaleCrew,maleCrew,tmdbId,movieId,imdbId
3,2,3,1,0,3,84772,72315,6780
0,0,0,2,0,0,106537,72321,1515158
10,1,4,2,0,1,53767,72325,52954
3,2,6,6,0,3,18930,72327,51959
2,9,4,23,7,9,4475,72330,1134629
4,0,0,11,0,0,24565,72334,765849
24,9,24,1,0,3,108200,72336,32397
3,4,4,0,0,1,77121,72340,36203
0,0,0,0,0,0,52048,72342,930071
5,0,1,0,2,1,75804,72344,13688
0,1,1,1,6,14,24480,72356,1425244
0,0,2,7,0,0,37060,72360,330801
3,0,0,1,0,0,176273,72363,14770
11,6,10,0,1,4,19851,72367,758751
2,3,6,0,0,3,24293,72369,1054122
4,14,35,83,7,25,14161,72378,1190080
3,8,5,3,4,6,22825,72380,362478
11,7,6,0,0,6,8088,72386,913425
1,0,4,1,0,1,70805,72388,120244
3,2,1,0,0,2,21581,72391,1242845
11,4,7,12,2,5,22824,72393,1220198
10,10,2,1,1,1,25793,72395,929632
2,5,9,3,0,2,23189,72400,42006
2,16,40,31,6,19,11699,72405,1095217
3,12,22,10,3,13,18239,72407,1259571
1,5,4,0,1,6,17774,72424,298296
1,4,9,4,0,6,28089,72479,790712
0,2,2,1,0,1,14859,72483,435679
12,1,2,8,1,4,7860,72485,1172963
18,4,16,12,3,9,22832,72489,1186367
11,1,3,0,0,2,32511,72491,1337051
0,1,4,0,0,1,14172,72505,367478
1,2,2,2,0,1,19167,72507,458471
1,2,1,3,2,1,121088,72512,459127
4,3,9,2,0,0,73501,72516,834941
2,0,3,7,0,7,2261,72524,70902
3,3,14,18,1,9,9924,72537,462329
2,3,10,3,1,6,30231,72552,87866
11,0,14,26,2,10,33273,72554,1242422
6,2,5,1,0,3,33035,72557,1139319
1,1,5,0,0,2,55628,72559,76297
3,1,4,1,0,2,112687,72571,68498
4,2,8,1,0,2,20411,72574,783598
4,0,0,23,0,0,71329,72583,94349
3,3,2,1,0,4,32543,72585,26564
8,3,2,13,1,0,54966,72587,67546
2,3,4,7,0,7,91426,72589,48820
3,2,7,14,2,13,6058,72591,120786
0,2,4,0,0,1,31002,72593,196158
18,1,6,5,0,2,34003,72601,1543920
0,3,7,2,0,0,25472,72603,1526300
6,6,12,37,7,21,7445,72605,765010
15,0,0,2,0,0,23269,72607,138645
3,0,0,0,0,0,411456,72609,143001
0,0,0,2,0,0,47466,72612,81040
0,1,3,1,0,3,109175,72618,128648
0,0,0,2,0,0,153118,72621,415853
8,1,7,6,0,3,18595,72624,878674
1,1,3,0,0,1,53516,72626,9932
0,2,2,18,0,2,27258,72628,1267319
0,1,2,0,1,4,20764,72630,804529
5,0,5,0,0,2,25467,72632,1310569
1,1,1,0,0,1,161094,72634,803005
0,0,0,2,0,0,267523,72637,938780
3,10,9,21,3,18,22881,72641,878804
3,0,1,4,0,0,93743,72643,17961
1,0,0,4,2,2,97035,72645,96337
0,0,0,0,0,1,88276,72647,131149
6,1,0,5,0,4,94466,72649,66639
5,1,0,2,0,2,99875,72651,18523
0,0,0,0,0,1,126863,72653,378889
6,0,5,0,0,3,58435,72657,76147
8,5,14,35,1,6,1284,72668,257231
1,3,4,3,2,7,19116,72670,804443
22,1,8,3,0,0,25716,72672,1232831
4,3,3,1,0,3,36106,72674,10806
0,0,0,0,0,1,90041,72678,130232
7,0,1,6,0,5,104776,72681,46712
6,1,1,3,0,4,8353,72683,22080
4,3,10,133,2,9,15400,72692,238414
6,5,14,8,2,8,22640,72694,1247692
2,11,9,69,4,16,22949,72696,976238
1,2,4,1,0,1,36272,72698,377100
8,3,7,8,0,7,16866,72701,762125
4,5,5,12,2,11,12404,72703,1175506
0,0,0,1,0,0,23951,72712,1241325
0,0,1,3,1,0,30238,72714,358456
0,3,8,3,0,0,29406,72718,1087527
6,6,10,4,2,10,34653,72720,1315981
4,3,7,8,3,7,14452,72722,1107859
1,4,7,1,0,1,18472,72724,1227177
2,2,4,5,0,3,51284,72726,1186366
7,6,5,8,11,8,7980,72731,380510
22,6,18,14,4,19,22954,72733,1057500
53,1,3,0,0,3,2143,72735,115832
2,6,15,69,3,27,10198,72737,780521
3,4,9,14,1,10,26171,72741,780511
3,4,13,3,0,9,32634,72751,55558
2,1,13,5,2,6,4597,72762,913354
1,17,27,1,0,7,37190,72764,936471
5,6,17,58,1,17,31909,72777,91276
3,1,2,1,0,3,62131,72784,91415
17,5,9,31,2,6,20606,72787,1023500
0,0,0,1,0,0,139212,72815,892773
8,0,0,3,0,0,57654,72822,1031947
0,1,3,1,0,0,18175,72833,448993
9,0,3,4,2,5,88067,72840,99312
0,1,8,3,0,3,30526,72842,110805
7,0,2,4,0,4,347,72844,20163
5,2,2,6,0,3,35867,72846,65417
2,0,2,3,0,3,64414,72848,53279
11,0,3,2,0,1,83491,72850,84345
6,2,2,9,0,3,56800,72852,57207
6,2,1,9,0,2,38759,72854,14109
3,3,9,2,0,3,28392,72856,40607
3,1,4,10,2,2,92432,72866,59856
9,3,3,10,0,8,45987,72870,48610
0,2,6,1,0,1,55261,72872,114432
0,0,4,0,0,2,27719,72874,119872
9,1,5,6,0,1,42836,72876,22017
7,2,1,6,0,2,101382,72878,39074
1,0,2,0,0,2,47122,72880,54880
9,1,2,5,0,6,89785,72883,60063
3,0,1,2,0,0,129417,72885,30055
2,2,2,4,0,3,53161,72897,19574
10,0,0,12,0,5,47046,72899,317171
13,0,0,5,1,3,82404,72904,460480
0,0,0,2,1,0,128846,72906,59503
2,2,1,3,0,3,63764,72908,38476
5,0,0,0,0,2,148597,72910,93133
14,0,1,21,0,0,46886,72913,1421032
2,0,0,0,0,1,129303,72915,63417
3,4,9,2,3,7,24438,72919,1314228
0,0,0,0,0,1,174598,72921,7361
1,1,4,1,0,0,60639,72923,74367
0,0,1,0,0,0,125512,72925,80629
3,0,1,0,0,1,14704,72927,419704
1,1,3,1,0,0,100122,72929,242285
0,0,0,1,0,0,48496,72931,84764
7,5,17,6,1,7,33052,72934,35105
3,4,15,7,3,4,140281,72936,38084
3,3,3,0,0,2,26032,72947,1305714
2,1,2,0,0,1,29697,72949,850667
2,1,2,3,0,0,16576,72953,976026
0,0,0,0,0,0,272772,72956,1175500
4,0,1,7,0,0,19197,72958,1129428
3,0,1,4,0,0,23947,72960,1527679
17,7,9,18,1,6,25968,72980,1068678
1,3,10,0,0,2,61872,72982,1461312
0,1,7,5,0,4,32615,72995,70468
51,12,20,115,10,28,19995,72998,499549
1,8,5,1,0,3,10197,73000,875034
3,3,9,1,1,7,9650,73002,489070
3,2,8,2,0,1,64481,73008,273148
13,5,2,9,2,1,10268,73010,450664
3,12,10,2,5,6,22897,73015,1230414
36,3,16,8,4,13,10528,73017,988045
0,2,7,11,4,9,25196,73023,1263670
0,2,2,0,0,4,13988,73025,1233571
1,3,6,0,0,1,36811,73027,824758
1,0,3,0,0,2,40054,73031,77768
1,8,8,2,3,11,23398,73042,1231580
3,5,2,8,3,10,28520,73049,1086216
6,4,10,14,0,10,15772,73051,499375
0,5,2,3,0,2,132397,73056,5916
5,1,2,2,0,4,38908,73060,443506
4,4,3,1,1,7,42206,73064,77729
1,3,6,0,1,6,26533,73086,35860
15,4,16,7,1,7,25137,73089,1183251
45,1,2,27,0,3,22043,73099,277255
12,2,7,0,0,3,18898,73101,1242545
3,10,5,0,0,3,26123,73106,1407050
6,2,7,1,0,8,40494,73109,49875
1,2,12,0,0,3,27172,73111,66448
4,0,21,0,0,4,17591,73114,48990
7,3,1,5,0,6,49687,73117,58335
4,0,6,6,1,3,51831,73121,139465
1,1,3,1,0,6,44808,73123,120851
2,2,2,4,1,5,121379,73125,16004
3,0,0,1,0,0,41886,73133,1185384
0,2,7,2,0,0,24050,73135,790676
8,0,4,1,0,4,94803,73137,16481
2,5,5,2,1,0,156015,73139,66192
6,0,0,11,5,2,94727,73141,17162
1,0,2,6,0,4,132392,73143,139153
4,2,1,15,0,4,114790,73145,38206
1,0,3,2,0,0,36293,73148,194722
5,4,13,30,1,10,26129,73150,179477
4,1,3,8,0,1,110733,73152,28436
4,8,7,1,1,3,96107,73154,33686
6,0,1,5,0,3,89647,73158,15687
4,4,3,5,0,1,27390,73160,96142
3,1,1,0,0,1,122163,73162,199650
0,1,4,0,0,3,352237,73165,119957
3,3,7,2,1,9,25769,73168,806203
5,3,10,8,0,0,14159,73170,986213
1,2,12,5,1,9,25680,73183,70077
14,0,0,8,0,2,36117,73185,318635
3,2,1,14,0,6,43876,73188,27951
42,5,3,16,1,1,63215,73194,84808
2,3,3,8,0,3,124994,73196,42031
0,0,0,1,0,0,54051,73198,129389
5,3,3,0,0,4,80960,73200,25478
2,1,0,1,1,0,97032,73202,83230
18,0,1,1,0,0,148536,73204,32086
5,2,3,3,0,0,64736,73208,813541
4,2,7,5,2,8,23963,73211,1226681
1,0,1,4,0,0,35148,73224,1512792
4,1,5,0,0,1,26465,73226,1144866
0,3,17,0,1,6,51422,73228,218080
9,3,2,2,1,3,60489,73230,214871
17,7,10,0,0,7,16204,73232,847167
5,3,7,25,3,13,23404,73234,1210801
2,1,6,0,0,1,20236,73236,1182609
0,0,0,0,0,0,148077,73240,944114
2,1,2,1,0,5,42564,73245,48283
7,2,5,0,0,2,65572,73256,95286
2,2,8,2,0,10,25190,73261,51028
3,4,9,2,1,3,22327,73266,403702
4,5,7,47,1,19,19901,73268,433362
4,0,0,0,2,0,28644,73270,1206488
0,0,1,1,0,0,24458,73276,1300563
5,1,6,3,0,4,13723,73284,926110
3,0,3,3,0,1,15791,73286,858433
7,4,7,30,6,16,28178,73290,1028532
1,4,5,1,0,0,291554,73304,105670
0,1,2,0,0,1,149851,73306,99506
0,0,0,2,0,1,14773,73314,446083
9,0,1,7,0,1,147683,73317,78119
1,4,10,1,1,2,25195,73319,1216492
18,7,20,60,5,20,20504,73321,1037705
12,4,6,24,1,4,33613,73323,1343097
3,1,3,2,0,4,57251,73328,418239
4,2,11,0,0,2,85126,73330,68698
2,2,6,4,0,8,123772,73334,102458
6,3,2,16,1,3,4286,73339,74686
5,1,8,11,1,4,21575,73344,1235166
8,3,0,4,0,0,104320,73355,147651
6,13,16,1,0,3,4932,73359,61736
12,0,0,0,0,2,39023,73365,946998
1,0,1,1,0,0,187401,73384,115016
1,1,4,0,0,1,25927,73386,976246
6,1,4,13,0,2,14173,73390,419073
1,0,0,6,0,4,28227,73392,1503769
4,1,4,8,1,1,31875,73399,258761
12,4,6,2,0,1,44085,73401,425321
12,0,0,1,0,0,58589,73411,1543283
1,4,11,2,3,7,26820,73413,1185431
6,0,0,2,0,0,119905,73416,1143891
0,2,5,5,4,8,24271,73431,1107860
4,2,9,31,2,8,52273,73442,271543
2,4,9,0,0,3,95140,73444,321997
27,11,25,3,0,6,179066,73447,26417
2,6,14,1,0,1,37222,73449,57634
6,4,1,15,0,1,55197,73457,44982
0,0,0,1,0,0,87065,73460,89507
0,0,1,1,1,0,20551,73462,109739
0,1,4,0,0,1,28280,73464,368688
6,1,3,3,0,3,26125,73466,402127
1,6,33,0,0,1,26765,73469,949815
3,0,1,2,1,6,5707,73472,250730
2,3,6,0,0,3,323111,73475,233105
1,0,1,3,0,4,26961,73478,390393
0,1,3,1,0,2,126925,73480,6745
4,4,10,13,3,8,1450,73488,806027
3,0,0,5,0,5,101006,73492,1002539
2,6,6,2,1,8,52429,73494,28355
0,1,6,1,0,2,81895,73499,110419
6,0,2,2,0,0,148435,73501,49607
9,3,6,8,0,0,46335,73504,781435
1,1,13,2,0,1,18476,73511,892767
5,1,2,10,0,6,15774,73513,367110
1,6,3,2,0,0,20107,73515,472050
1,2,4,3,0,2,12161,73523,1224153
0,2,1,0,0,2,164421,73526,51065
14,0,1,3,0,6,101342,73529,119413
3,1,4,13,0,5,41970,73531,93393
7,6,4,2,0,0,89800,73533,297905
16,3,8,1,0,2,21521,73569,92501
0,5,5,1,0,5,44027,73572,1233219
3,1,0,2,0,0,143098,73581,120872
6,4,8,1,0,1,31175,73587,1244668
11,6,9,5,1,3,22274,73590,929412
4,1,2,4,0,1,4579,73608,68688
5,0,0,5,0,6,32097,73614,75938
12,2,1,30,1,1,83430,73617,1318022
7,3,14,4,0,7,13634,73630,23305
12,0,2,10,0,1,144089,73639,78799
5,5,1,10,0,6,40229,73641,85694
6,2,7,2,0,6,10800,73664,944834
0,0,0,0,0,0,277622,73668,906783
40,4,11,2,0,3,25676,73676,485976
0,1,6,0,0,2,44941,73678,105871
15,4,12,2,0,8,25205,73681,1320082
0,0,0,0,0,0,17602,73708,1379667
3,0,0,1,0,0,14981,73710,1247703
6,3,2,0,0,2,45699,73713,329485
2,1,2,1,0,2,17606,73718,974613
10,3,17,7,0,7,25594,73730,1393000
3,1,11,7,2,5,25602,73741,1182921
7,0,1,2,0,0,40660,73744,1380130
2,0,0,5,0,0,101376,73754,1334556
5,1,2,0,0,2,49956,73772,104753
17,2,2,9,0,2,43844,73774,30127
14,0,1,2,0,2,15930,73776,995029
14,2,0,6,0,0,65642,73778,28201
14,1,3,0,0,1,86303,73780,56537
9,3,1,6,0,3,63771,73782,35823
2,3,10,3,0,12,52229,73790,29080
10,2,14,10,1,12,2395,73804,463872
1,3,5,5,0,5,13855,73808,1190539
3,0,1,2,0,0,21153,73813,800334
1,5,3,0,0,1,83994,73818,115928
4,3,4,7,1,2,5761,73820,841108
5,4,6,1,2,4,57978,73822,82727
2,2,1,0,0,2,23999,73824,75622
11,0,2,4,0,2,42720,73826,60486
11,2,9,10,0,8,17911,73829,1350498
9,1,0,0,2,0,32559,73831,1499228
3,1,1,7,0,3,253476,73834,1288482
0,0,1,1,0,0,69061,73851,90968
7,2,2,2,0,4,13382,73854,58536
3,3,5,1,0,2,13358,73858,918511
9,4,8,5,4,6,33511,73860,1266029
0,0,0,0,0,1,27182,73862,1149400
4,0,0,1,0,0,29110,73868,1104694
2,3,3,6,3,3,23410,73870,1235448
0,0,0,1,0,0,266740,73872,1491605
3,2,10,1,0,1,22164,73874,346631
3,1,11,7,1,3,15255,73876,443676
0,3,4,1,0,2,71885,73879,273842
11,1,8,35,1,5,20453,73881,1187043
0,0,0,0,0,1,108573,73883,137224
6,3,5,8,0,2,16095,73885,948544
2,5,3,8,1,3,4253,73900,378072
3,2,4,5,0,11,43346,73912,45808
3,1,10,0,0,10,40083,73914,67774
4,5,10,0,1,2,61864,73919,77295
1,1,6,0,1,1,59390,73922,105297
1,4,10,9,1,12,22894,73929,1038686
11,3,17,1,0,6,15807,73954,35616
1,2,6,2,0,4,85507,73967,19788
2,4,9,0,0,2,72241,73978,39931
1,3,9,6,0,6,22404,73981,33873
4,0,1,12,0,1,27567,73983,1187044
9,0,2,6,0,0,147692,73987,136478
0,2,2,1,0,3,41787,73989,99397
2,2,7,23,1,3,106482,73991,102733
0,1,1,1,0,0,26752,74014,1194620
1,2,6,1,2,10,48609,74017,91051
0,0,0,0,0,0,251281,74056,304820
8,1,1,0,0,2,160266,74061,423881
1,4,4,9,0,2,21033,74064,1170391
13,4,10,0,0,2,23988,74075,1185266
0,1,1,2,0,0,186129,74086,835456
0,2,1,2,0,0,51120,74089,54176
5,2,3,5,0,2,21453,74095,98692
14,0,1,16,0,1,5153,74097,3740
26,2,45,2,0,11,17836,74099,33226
7,0,0,3,0,0,51429,74103,142998
3,7,7,3,2,8,32130,74107,37384
3,1,6,0,1,3,126083,74109,26519
3,1,5,2,0,1,13522,74111,950739
8,0,8,1,0,2,47370,74113,62041
1,2,3,1,0,0,31156,74115,1472122
8,0,0,5,1,0,84104,74127,72156
7,0,0,4,0,0,46336,74129,439182
10,4,11,2,8,6,27569,74131,1244659
0,0,3,1,0,0,62775,74135,1404661
5,2,12,0,0,3,120109,74137,33174
4,1,8,9,0,7,8349,74139,365675
7,4,3,28,0,4,75877,74141,88040
1,3,6,2,0,1,43891,74144,26246
5,0,0,8,0,2,33295,74148,1286821
2,6,8,0,0,3,29501,74150,1084955
1,0,2,3,0,6,16453,74152,804558
3,6,10,1,0,11,13477,74154,1185416
4,1,15,57,4,19,12201,74156,1226273
2,1,2,0,0,1,47554,74159,430063
1,2,7,2,0,1,33395,74161,26199
5,0,2,6,0,2,2974,74164,15202
6,1,5,4,0,0,14016,74204,969269
15,0,0,1,0,2,94706,74226,105438
2,3,4,20,5,9,26466,74228,1187064
4,0,0,1,0,0,49807,74230,117555
1,2,12,3,0,0,99749,74255,95958
1,4,7,0,0,2,79509,74257,99026
0,7,13,1,1,11,46623,74261,53715
1,3,8,7,0,7,52863,74263,26261
2,10,5,8,2,4,92283,74266,65872
6,1,7,5,0,0,42137,74271,84881
10,9,15,13,1,8,8952,74275,1045772
2,6,2,0,0,1,40724,74282,92571
0,5,8,14,0,2,33159,74287,1219336
4,0,0,1,0,0,26137,74297,424273
3,5,7,7,3,6,71825,74300,104892
1,1,5,4,0,2,103201,74302,106850
2,1,1,2,0,1,98246,74306,439817
0,7,9,6,0,8,33630,74310,30944
4,0,1,1,0,0,51675,74317,1530487
0,0,0,0,0,0,281287,74319,104060
41,5,11,8,3,8,33602,74324,1278469
12,4,5,8,0,2,12169,74327,926759
2,5,6,1,2,1,252407,74332,93240
3,9,7,0,0,2,43333,74337,46903
3,8,8,1,0,5,42212,74339,78382
2,4,18,3,1,5,33728,74342,56903
0,2,3,0,2,0,27989,74355,1133993
2,5,2,10,1,6,25983,74370,1172994
3,2,5,7,0,13,42683,74382,27367
7,2,6,2,0,0,271677,74404,347167
1,0,3,3,0,0,46423,74406,449306
12,10,7,14,5,5,24469,74416,1232776
5,4,7,3,0,3,11518,74426,213890
2,5,4,18,0,7,7344,74428,1027658
4,0,4,17,0,5,4887,74431,499262
6,1,2,21,1,2,51022,74434,165546
6,8,19,4,2,11,31578,74436,106449
4,2,4,1,0,2,18670,74438,110054
6,3,7,4,0,5,25293,74446,264695
1,1,2,0,0,2,59013,74448,281173
0,11,12,4,4,6,32856,74450,817230
3,3,8,22,4,21,7978,74452,780653
1,6,8,7,1,3,60086,74456,819755
5,5,16,12,5,12,11324,74458,1130884
11,3,10,1,0,5,90052,74471,270645
3,1,2,0,0,2,81382,74473,310851
3,2,1,8,0,2,8898,74475,1221141
2,0,3,1,0,0,183946,74478,122804
8,4,4,14,1,3,17334,74480,1049405
12,12,8,9,0,3,26715,74484,1212974
1,1,8,10,2,0,19311,74486,790799
4,3,3,9,1,7,38448,74488,1235796
5,0,3,15,0,1,45988,74491,1329539
2,2,4,5,1,3,20047,74493,1289437
2,0,1,1,0,0,55522,74504,1364487
4,0,2,4,0,4,81399,74506,56884
1,5,7,2,1,2,13949,74508,844330
8,4,5,27,1,4,24253,74510,1216487
4,0,1,1,0,0,15324,74512,1422757
41,30,20,16,9,23,32657,74530,814255
4,6,13,3,0,8,23742,74532,1385867
10,1,5,1,1,4,36457,74538,60648
3,1,7,1,0,5,27561,74541,1337032
15,4,14,11,2,15,11439,74545,1139328
2,1,4,0,0,3,42586,74547,65611
3,0,5,7,1,2,26963,74553,485601
3,2,4,9,2,3,32868,74573,1183921
1,2,4,6,0,7,30298,74575,64952
6,4,6,0,0,3,23172,74580,1273678
2,4,3,2,0,2,30128,74582,1220628
2,16,2,2,3,6,29381,74588,42296
0,2,7,5,0,4,42295,74590,37795
2,3,4,0,0,1,41894,74595,1210039
10,2,3,0,0,5,67736,74613,46429
12,1,12,13,5,8,25950,74619,448965
3,7,4,1,0,2,32124,74621,1241316
55,2,16,38,2,11,26428,74624,1186830
0,2,10,1,0,6,56931,74630,52427
3,3,6,18,0,9,12273,74641,1146325
2,10,1,0,2,0,22805,74647,1220220
1,4,6,1,0,0,79519,74649,886531
4,1,10,2,0,0,20083,74653,1075419
0,0,4,1,0,2,29388,74657,1143110
6,1,5,37,0,3,15357,74668,1247640
1,1,9,1,0,1,20406,74671,796355
3,2,2,3,0,0,22166,74673,1335992
0,0,0,2,0,0,408956,74675,1380232
0,0,3,1,0,6,18489,74677,1352852
1,0,2,2,0,0,120280,74681,48481
35,2,15,14,1,5,19962,74683,282744
14,6,19,54,3,19,29427,74685,455407
1,1,7,8,5,12,22971,74688,989757
5,0,0,1,0,0,45576,74696,1512201
3,11,24,1,7,9,23023,74698,808510
0,0,1,0,0,2,29785,74701,1232790
13,0,0,12,0,0,63195,74706,257497
10,0,6,2,0,0,20871,74727,68519
1,3,4,2,0,0,14235,74731,1087842
8,0,0,11,1,0,71370,74733,478813
1,2,4,4,2,7,25967,74738,446719
3,1,4,10,0,2,5595,74740,1016301
4,0,0,13,0,0,32092,74748,1094275
6,4,3,1,0,4,10664,74750,1245112
7,4,10,27,5,5,28739,74752,961722
7,1,2,6,0,4,17473,74754,368226
0,0,0,1,0,0,200664,74760,307057
5,0,1,1,0,2,224642,74777,133245
7,0,0,6,0,0,117499,74780,62681
0,0,0,1,0,0,174748,74782,87587
5,1,7,4,2,8,26022,74787,1188996
2,16,17,11,4,9,12155,74789,1014759
16,1,2,17,0,1,40623,74791,1433540
67,1,20,60,6,15,22972,74795,947810
6,4,11,7,0,7,119819,74799,26164
1,1,8,16,2,10,29182,74818,914837
6,2,18,8,1,8,17277,74820,58085
13,0,1,4,0,0,24424,74827,1077262
12,5,8,57,0,10,26389,74851,1179034
2,3,8,1,0,2,61880,74857,48667
2,2,3,0,1,2,31515,74859,66858
1,10,8,14,3,3,20618,74864,1319733
12,2,2,4,0,4,28925,74866,1191971
6,7,7,2,1,5,23488,74868,1235124
1,0,4,5,0,4,26771,74870,80012
3,2,12,6,1,11,43012,74886,56556
2,7,6,10,6,12,27583,74916,1234654
3,3,10,11,0,8,6883,74937,75359
1,5,15,47,9,21,26390,74944,1210042
2,5,7,16,5,17,34016,74946,815236
16,3,15,40,2,16,25941,74948,1289406
4,0,0,4,0,0,34195,74965,1206082
3,2,6,7,5,7,20471,74967,768218
1,2,2,8,1,1,18514,75335,817544
5,6,6,3,4,7,23169,75341,1403981
2,0,3,4,0,0,18704,75345,289181
2,2,1,5,1,5,12718,75349,283043
1,2,12,6,0,4,15360,75351,67490
1,0,0,2,0,0,19969,75362,1297945
1,0,3,2,3,4,85521,75367,56952
3,2,7,1,0,2,36233,75370,107863
2,1,5,6,0,7,16763,75374,1140941
12,1,2,5,0,3,16350,75386,1029241
8,3,7,38,4,9,15846,75389,445939
4,1,6,4,0,6,14765,75392,920470
3,1,5,30,3,12,44363,75395,1323045
20,2,14,6,0,11,94182,75397,33175
6,3,9,0,0,3,34592,75404,1134674
1,1,2,2,0,1,26430,75406,1247371
3,0,2,3,0,0,59719,75408,1259781
11,1,5,7,0,4,30903,75414,66412
1,3,5,0,0,2,26623,75416,116401
5,0,2,1,0,0,55412,75421,121853
10,3,4,6,0,4,48145,75423,53772
3,1,4,7,2,4,29426,75425,1134854
9,0,0,3,0,0,217632,75428,138792
4,2,0,2,0,0,195204,75436,60613
1,2,7,2,0,0,34335,75438,959329
3,0,2,6,0,3,16239,75440,1386011
20,6,40,4,0,6,80196,75443,32636
9,4,4,2,0,0,31299,75446,1104083
6,11,10,1,0,0,34563,75803,1305583
7,3,8,2,3,8,27573,75805,1038919
0,3,6,2,0,1,32678,75808,1311699
1,7,9,5,2,6,12834,75813,1151359
1,8,3,0,0,2,31723,75816,1247704
4,0,0,0,1,0,24225,75818,1334510
2,1,8,3,1,5,49508,75820,43665
6,0,0,6,0,2,26558,75823,90866
31,1,4,12,0,9,15483,75825,330691
8,8,13,9,0,5,31678,75831,19993
0,3,4,4,0,2,45921,75927,1053830
1,3,5,4,3,8,33788,75929,368563
11,0,3,12,1,2,5753,75938,92848
4,1,4,1,1,1,43495,75940,38924
1,0,1,9,0,4,32688,75947,57318
21,17,21,3,1,10,24973,75950,46949
0,3,3,5,0,8,42342,75962,39349
1,2,5,0,0,2,168171,75977,40186
3,1,3,1,0,8,80595,75979,54898
2,1,4,7,0,1,66953,75981,60879
5,1,6,33,0,8,16436,75983,844457
1,6,8,3,3,8,31867,75985,1053424
18,1,10,1,0,2,42451,75990,71155
2,4,12,1,0,9,43138,75992,51435
4,8,12,2,1,10,4933,75994,51436
5,1,0,2,0,0,264241,76022,38688
10,11,17,43,6,14,28355,76030,795351
6,1,0,0,0,2,64104,76032,1196334
0,0,0,1,0,1,194931,76049,443524
2,6,6,3,0,2,20027,76051,1043451
4,0,4,20,0,8,36970,76054,765128
2,1,3,16,0,0,19616,76056,1328634
1,4,10,1,0,6,34423,76060,1135525
8,3,1,11,0,5,69872,76063,69421
4,1,2,10,0,6,20216,76066,233481
0,8,10,9,2,11,23048,76077,1231587
3,11,5,7,6,12,28211,76079,1352824
1,1,6,0,0,4,30779,76082,279695
3,0,1,2,0,1,89199,76085,66482
4,0,2,22,0,0,19152,76087,1264914
3,4,5,0,0,4,38687,76089,16884
4,2,2,2,0,2,30018,76091,1216496
2,3,8,26,5,11,10191,76093,892769
0,2,4,9,0,1,22582,76108,105616
4,2,3,5,0,7,37181,76111,1360860
5,0,3,5,0,4,45035,76117,492835
2,3,6,4,0,11,15544,76119,806147
1,3,6,1,0,2,24874,76121,486651
1,2,4,3,0,3,51330,76127,153997
3,1,4,8,1,9,28510,76130,1288403
2,2,2,6,1,1,11763,76132,448206
4,3,9,5,1,8,33421,76134,37168
3,5,10,9,2,31,48336,76137,113718
4,3,3,3,0,3,21467,76143,1181927
3,3,2,8,1,2,24499,76145,847520
2,4,6,0,2,0,20825,76147,762105
1,0,0,1,0,1,16190,76151,478338
6,0,3,1,0,0,109572,76153,827737
2,2,1,6,0,4,52637,76156,1149363
4,4,4,1,0,2,25053,76158,1371630
13,4,6,15,0,5,104607,76163,49043
12,1,2,5,0,2,10469,76169,271029
11,2,0,5,0,1,11122,76171,107214
4,2,6,5,1,7,27936,76173,1149361
7,10,18,99,6,18,18823,76175,800320
0,0,1,1,0,0,196328,76182,128089
6,4,5,1,0,0,213845,76185,456543
4,0,2,8,0,0,15382,76187,44518
1,3,3,4,1,2,31196,76189,1300159
19,4,8,10,0,2,18352,76208,63633
1,6,9,6,4,7,34769,76210,1303828
2,0,2,6,3,9,39830,76217,1445202
4,1,3,7,0,1,132744,76238,227194
1,0,3,2,0,0,161179,76241,331639
4,4,13,33,1,6,35939,76244,1319694
3,5,18,18,5,19,23483,76251,1250777
9,2,8,7,0,7,16686,76255,844948
3,10,8,4,0,7,15973,76258,1010265
4,2,4,4,1,3,4252,76269,346723
4,2,4,1,0,3,16759,76272,1238291
0,2,7,2,0,3,43008,76277,52876
3,3,9,5,0,8,184741,76279,27413
2,0,2,3,0,0,57124,76288,70760
1,2,2,1,0,3,93519,76291,113526
8,12,9,3,4,14,35056,76293,1279935
6,1,8,6,0,8,47090,76298,100369
1,2,7,16,1,9,13417,76301,401398
10,1,6,1,1,6,39931,76303,65491
1,1,7,1,0,1,24429,76312,77275
0,11,9,25,5,15,36419,76317,838247
2,2,5,0,0,2,22419,76680,462219
1,2,4,3,0,10,43327,76692,48791
1,1,7,0,0,4,76568,76695,52190
1,0,0,0,0,0,40855,76699,1183697
2,2,1,0,0,1,22488,76701,486420
0,0,0,0,0,0,49131,76709,499665
1,0,1,1,0,0,35207,76711,1489246
4,3,5,2,0,7,42669,76714,21873
2,2,3,12,3,2,18273,76716,411323
3,2,1,11,0,0,37223,76718,1192613
1,2,5,2,1,6,53522,76720,23241
22,1,32,3,0,13,39459,76722,31747
0,2,5,0,0,2,35689,76729,1281374
0,0,0,1,0,0,166375,76731,1519402
11,2,2,0,0,2,34784,76736,903622
4,0,0,4,0,0,52903,76738,1583323
9,1,8,16,1,4,8980,76743,314121
6,4,8,3,2,6,11801,76747,783767
3,0,0,1,0,0,25572,76751,1033467
1,1,3,0,0,2,34583,76753,1390535
1,5,2,2,1,5,11761,76755,1188113
21,4,20,4,0,3,22943,76758,4707
1,10,7,3,1,4,27586,76763,1017451
